id,name,Status,Release_Date,Genre,Language,Director,Color,Censor_Details,Censor_Dates,Censor_Certificate_No,Runtime,Certification,Length_in_metres,Banner,Music_Company,Studio,Shooting_Location
508592,Return of Hanuman,{},28 Dec 2007,"Adventure, Animation",Hindi,Anurag Kashyap,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Percept Picture Company,T-Series,"",""
54363,Dhamaal,{},7 Sep 2007,Comedy,Hindi,Indra Kumar,C,{},Not Available.,CIL/1/99/2007,Not Available.,U,0.0,Maruti International,Big Music,,""
54362,Darling,{},7 Sep 2007,"Horror, Thriller",Hindi,Ram Gopal Varma,C,{},Not Available.,Not Available.,126 Minutes,A,0.0,T-Series Super Cassettes Industries Ltd.,T-Series,,""
513031,Life In A... Metro,{},11 May 2007,Drama,Hindi,Anurag Basu,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Utv Motion Pictures,Sony Music,,""
54523,Jaan-E-Mann,{},20 Oct 2006,"Social, Romance, Musical, Love Triangle",Hindi,Shirish Kunder,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Nadiadwala Grandson Entertainment,T-Series,,""
531174,Khosla Ka Ghosla,{},22 Sep 2006,"Comedy, Drama, Action, Social, Crime",Hindi,Dibakar Banerjee,C,{},Not Available.,CIL/1/123/2006,Not Available.,U,0.0,"",Music Today,"",""
509038,Kachchi Sadak,{},15 Sep 2006,Action,Hindi,Sanjay D Singh,C,{},Not Available.,CIL/2/79/2005,Not Available.,B,0.0,"",Saregama-HMV,"",""
538491,Garam Masala,{},2 Nov 2005,"Comedy, Drama",Hindi,Priyadarshan,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Venus Records & Tapes|Ashco Media Arts Pvt Ltd,Venus Records & Tapes,"",""
54547,Lucky - No Time For Love,Released,6 Apr 2005,Romance,Hindi,Vinay Sapru,C,{},Not Available.,Not Available.,142 Minutes,Not Available.,0.0,T-Series Super Cassettes Industries Ltd.|Sohail Khan Productions,"","",""
510886,Chot,{},18 Jun 2004,"Action, Musical, Crime",Hindi,Nabh Kumar Raju,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,S M International,Nupur Audio,"",""
57451,Muskaan,{},26 Mar 2004,Romance,Hindi,Manish Sharma,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Super Cassettes Industries Ltd.,T-Series,"",""
201793,Tum?,{},20 Feb 2004,{},Hindi,Aruna Raje,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Venus Records & Tapes,Venus Records & Tapes,"",""
54525,Janasheen,{},28 Nov 2003,"Action, Musical, Drama",Hindi,Feroz Khan,C,{},Not Available.,CIL/3/105/2003,Not Available.,A,0.0,F K Films Pvt Ltd,T-Series,"",""
201916,Out Of Control,{},21 Nov 2003,"Drama, Crime",Hindi,Apurva Asrani,C,{},Not Available.,CIL/2/41/2003,Not Available.,B,0.0,Pooja Entertainment India Ltd.,Puja Music,"",""
508169,Sssshhh?,{},24 Oct 2003,Horror,Hindi,Pawan Kaul,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Cinevistaas,T-Series,"",""
510923,Koi Mil Gaya,{},8 Aug 2003,"Drama, Romance",Hindi,Rakesh Roshan,C,{},Not Available.,CIL/1/55/2003,170 Minutes,U,0.0,Filmkraft Productions,Saregama-HMV,"",""
510587,Shakti - The Power,{},20 Sep 2002,{},Hindi,Krishna Vamsi,C,{},Not Available.,CIL/3/60/2002,Not Available.,A,0.0,Sridevi Productions,Tips Music Films,"",""
65657,Chance Pe Dance,{},15 Jan 2010,"Social, Musical",Hindi,Ken Ghosh,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Utv Motion Pictures,T-Series,"",""
732297,Welcome 2 Karachi,Released,28 May 2015,Comedy,Hindi,Ashish R Mohan,C,{},18 May 2015,DIL2/76/2015,131 Minutes,U/A,0.0,Pooja Entertainment India Ltd.,T-Series,"",""
592010,Dr. Cabbie,Under Production,2016,Drama,Hindi,Jean-Francois Poulliot,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,First Take Entertainment| Caramel Films| Salman Khan Being Human Productions,"","",""
